DateTime,Website Name,URL,Status,Ping (ms),TCP Connect (ms),TLS Handshake (ms),DNS Time (ms),HTTP TTFB (ms),HTTP FirstChunk (ms),HTTP Total (ms),Redirects,Redirect Times (ms),Content Size (KB),Keyword Check,SSL Days Left,SSL Expiry Date,Probes Summary,Notes
2025-10-15T07:00:12.869510+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),69.75,N/A,11.52,515.83,0.24,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:16.187336+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),67.55,N/A,22.96,612.35,0.46,0.02,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:19.384966+00:00,SMPB Odisha,https://smpbodisha.in/,Up,84.04,201.94,N/A,4.46,1082.92,0.58,0.01,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:23.363410+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),56.3,N/A,3.67,468.07,0.43,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:26.589650+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),47.47,N/A,40.46,522.67,0.27,0.05,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:30.078173+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,137.49,172.2,N/A,3.41,2012.5,11.76,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:51.656678+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,134.41,1292.01,N/A,4.58,944.63,3.85,0.03,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:56.628051+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,6.19,20.43,N/A,4.76,434.16,0.4,0.07,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:57.654627+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,148.62,186.82,N/A,4.1,2294.19,0.45,0.04,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:01:04.977833+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,263.21,235.75,N/A,3.97,1206.93,0.31,0.02,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:09.793067+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),46.48,N/A,113.47,430.77,0.27,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:13.411239+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),46.41,N/A,86.26,583.71,0.55,0.04,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:16.570401+00:00,SMPB Odisha,https://smpbodisha.in/,Up,88.1,96.92,N/A,58.58,1366.35,42.32,0.04,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:21.588159+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),69.0,N/A,3.96,489.98,0.41,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:24.872591+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),15.99,N/A,3.34,454.75,0.37,0.06,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:28.074487+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,Failed (No Response),157.77,N/A,104.86,1633.23,464.9,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:49.908215+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,102.88,294.18,N/A,35.87,900.75,0.61,0.02,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:54.648409+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,5.19,33.11,N/A,194.54,613.88,0.26,0.04,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:56.123206+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,127.51,10308.73,N/A,3.57,1729.03,0.35,0.01,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:01:17.054926+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,124.26,157.0,N/A,3.61,924.37,0.5,0.02,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:18.634292+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),45.7,N/A,5.34,534.29,0.22,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:22.199589+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),31.57,N/A,3.96,502.98,0.47,0.02,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:25.169011+00:00,SMPB Odisha,https://smpbodisha.in/,Up,116.27,237.37,N/A,3.53,1472.07,5.93,0.02,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T07:00:29.898101+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),36.93,N/A,4.36,635.4,0.56,0.02,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:33.357519+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),16.05,N/A,3.9,590.46,0.33,0.05,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T07:00:36.936692+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up (Slow),128.18,153.98,N/A,3.89,3581.1,171.94,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",TTFB 3581.1ms > threshold 3000.0ms
